구분,보통휘발유,자동차용경유
24년02월3주,876.20,1001.13
24년02월4주,849.93,973.17
24년03월1주,867.72,986.19
24년03월2주,857.50,971.22
24년03월3주,858.36,967.34
24년03월4주,878.93,965.33
24년04월1주,886.24,947.19
24년04월2주,946.40,995.16
24년04월3주,947.44,997.14
24년04월4주,941.17,976.36
24년05월1주,922.34,958.19
24년05월2주,898.27,934.77
24년05월3주,879.35,927.65
24년05월4주,860.79,916.99
24년05월5주,849.18,906.23
24년06월1주,836.62,916.57
24년06월2주,823.33,905.48
24년06월3주,837.18,935.93
24년06월4주,868.40,975.57
24년07월1주,870.34,977.07
24년07월2주,896.70,1004.59
24년07월3주,881.52,987.25
24년07월4주,879.45,973.46
24년07월5주,863.71,955.20
24년08월1주,847.29,932.79
24년08월2주,823.94,917.07
24년08월3주,824.29,909.03
24년08월4주,793.93,870.95
24년09월1주,787.91,863.11
24년09월2주,760.15,829.55
24년09월3주,746.92,812.24
24년09월4주,756.28,807.04
24년10월1주,759.60,812.98
24년10월2주,783.36,854.89
24년10월3주,786.42,860.91
24년10월4주,789.08,864.12
24년10월5주,770.95,852.85
24년11월1주,789.49,889.82
24년11월2주,782.34,889.66
24년11월3주,778.90,887.85
24년11월4주,773.07,880.83
24년12월1주,801.47,894.96
24년12월2주,807.11,891.67
24년12월3주,832.84,914.09
24년12월4주,827.41,919.12
25년01월1주,829.19,915.10
25년01월2주,865.13,971.05
25년01월3주,880.79,996.14
25년01월4주,879.04,1007.95
25년01월5주,858.93,982.90
25년02월1주,862.39,970.80
25년02월2주,859.89,958.29
25년02월3주,863.61,956.53
25년02월4주,845.37,927.92
25년03월1주,835.59,925.61
25년03월2주,802.91,899.24
25년03월3주,804.97,898.23
25년03월4주,798.81,884.70
25년04월1주,830.76,915.37
25년04월2주,816.88,903.31
25년04월3주,769.66,858.65
25년04월4주,784.97,872.41
25년04월5주,782.09,861.68
25년05월1주,775.98,850.15
25년05월2주,763.02,830.91
25년05월3주,769.17,833.83
25년05월4주,746.10,807.00
25년06월1주,760.31,820.13
25년06월2주,766.45,832.56
25년06월3주,792.84,860.05
25년06월4주,815.37,881.30
25년07월1주,799.80,883.02
25년07월2주,780.68,884.32
25년07월3주,778.02,890.74
25년07월4주,776.69,902.23
25년07월5주,777.96,899.36
25년08월1주,783.13,903.95
25년08월2주,770.32,882.48
25년08월3주,768.98,866.98
25년08월4주,775.16,866.61
25년09월1주,785.43,877.57
25년09월2주,789.72,882.29
25년09월3주,789.93,889.87
25년09월4주,788.23,886.34
25년10월1주,784.21,884.25
25년10월2주,784.49,890.48
25년10월3주,773.70,885.15
25년10월4주,782.61,884.82
